Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein
430,210,23,36,9,46,300,100,960,40,31,10,4,18,3,26
460,230,26,40,13,65,250,83,1300,54,38,13,2,7,3,19
520,270,30,47,14,68,250,83,1410,59,43,14,3,12,4,121
410,180,20,32,11,56,35,11,1300,54,36,12,2,7,3,20
470,220,25,38,12,59,35,11,1420,59,42,14,3,12,4,20
470,220,24,37,9,45,30,10,1290,54,46,15,3,11,4,17
540,290,32,49,16,78,280,93,1470,61,38,13,2,8,3,25
460,190,21,32,9,44,250,84,1250,52,48,16,2,9,15,19
400,140,15,24,7,34,35,11,1250,52,47,16,2,9,16,20
620,280,31,48,11,56,275,92,1480,62,57,19,3,11,7,30
570,230,25,39,9,45,60,20,1480,62,55,18,3,12,8,30
670,310,35,53,13,63,295,99,1510,63,56,19,3,12,7,33
740,430,48,73,17,87,555,185,1560,65,51,17,3,12,3,28
800,470,52,80,18,90,555,185,1680,70,56,19,4,17,3,28
690,370,41,63,14,72,35,12,1700,71,55,18,4,17,4,26
1090,510,56,87,19,96,575,192,2150,90,111,37,6,23,17,36
1150,540,60,93,20,100,575,192,2260,94,116,39,7,28,17,39
1050,450,50,77,16,81,55,19,2290,95,115,38,7,28,18,35
300,150,16,25,7,33,115,38,790,33,26,9,1,5,2,12
290,35,4,6,1.5,8,5,2,160,7,58,19,5,19,32,5
260,40,4,6,1.5,8,5,2,115,5,49,16,5,22,18,5
530,240,27,42,10,48,85,28,960,40,47,16,3,13,9,24
520,240,26,41,12,61,95,31,1100,46,41,14,3,11,10,30
600,260,29,45,13,63,105,34,1440,60,48,16,3,12,12,37
610,280,31,48,13,64,105,35,1180,49,46,15,3,14,10,30
540,250,27,42,11,54,85,28,960,40,45,15,3,13,9,29
750,380,43,66,19,96,160,53,1280,53,42,14,3,11,10,48
240,70,8,12,3,15,30,10,480,20,32,11,1,6,6,12
290,100,11,18,5,27,45,15,680,28,33,11,2,7,7,15
430,190,21,32,10,52,90,30,1040,43,35,12,2,8,7,24
720,360,40,62,15,75,115,38,1470,61,51,17,4,14,14,39
380,150,17,26,8,40,75,25,840,35,34,11,2,7,7,22
440,200,22,34,10,49,90,30,1110,46,35,12,2,7,7,27
430,200,22,35,9,44,80,27,760,32,34,11,2,8,7,22
430,210,23,36,9,44,80,27,1030,43,35,12,2,7,6,22
500,240,26,40,10,48,70,23,980,41,44,15,3,10,11,22
510,200,22,33,3.5,18,45,16,990,41,55,18,3,13,10,24
350,80,9,13,2,9,65,22,820,34,42,14,3,13,8,28
670,300,33,51,9,44,85,29,1410,59,58,19,3,14,11,36
510,180,20,31,7,36,105,35,1250,52,44,15,3,13,9,40
610,250,28,43,6,31,70,24,1400,58,57,19,3,13,11,32
450,130,15,23,4.5,22,90,30,1230,51,43,14,3,13,9,36
750,340,38,59,10,51,90,31,1720,72,65,22,4,15,16,36
590,230,25,39,8,42,110,37,1560,65,51,17,4,15,14,40
430,170,19,29,3,15,45,14,910,38,43,14,2,7,7,21
480,220,24,38,7,35,65,21,1260,53,43,14,2,8,6,22
430,190,21,32,5,25,50,17,1260,53,41,14,2,7,6,20
360,150,16,25,3,16,35,11,990,41,40,13,2,7,5,14
630,280,32,49,9,45,80,26,1540,64,56,19,3,13,7,32
480,170,19,28,7,36,95,32,1370,57,42,14,3,13,6,36
610,280,31,47,8,40,65,21,1340,56,56,19,3,14,8,27
450,160,18,27,6,31,80,27,1170,49,42,14,3,14,6,30
